ns,bytes
366507296,109066
360713593,109066
363384230,109066
352600447,109066
354661434,109066
347677092,109066
348210166,109066
351411727,109066
345643079,109066
360657670,109066
345730900,109066
352918755,109066
350733005,109066
354558471,109066
350147883,109066
357725586,109066
354787720,109066
345983701,109066
353023244,109066
350332985,109066
350673291,109066
356972827,109066
346347641,109066
352158984,109066
351629832,109066
358038753,109066
356199415,109066
357872208,109066
361453877,109066
353447320,109066
344090116,109066
345837277,109066
356724607,109066
363521820,109066
348707339,109066
349593905,109066
342975060,109066
370487896,109066
351792679,109066
352490070,109066
348471009,109066
349611506,109066
344143838,109066
357847980,109066
366390510,109066
353744150,109066
355524743,109066
343318902,109066
353266029,109066
363524047,109066
359519270,109066
355247198,109066
340343624,109066
351401857,109066
356385610,109066
351043482,109066
348035567,109066
357396456,109066
345783271,109066
337296090,109066
355640608,109066
355877355,109066
362509758,109066
344139853,109066
346963687,109066
352149906,109066
352180635,109066
365066856,109066
354754358,109066
351393143,109066
347144680,109066
360715260,109066
363289508,109066
351830785,109066
350698226,109066
344734277,109066
356265091,109066
354313318,109066
346475849,109066
360187241,109066
356246258,109066
359042137,109066
354823051,109066
348664026,109066
359733144,109066
342720051,109066
356600441,109066
343555271,109066
339528906,109066
353542637,109066
345646393,109066
351463437,109066
358887750,109066
340101319,109066
355116742,109066
354526724,109066
361407699,109066
354822149,109066
358704350,109066
347376926,109066
506509301,1114298
497782310,1114298
502442842,1114298
488213351,1114298
519436709,1114298
507033600,1114298
523246393,1114298
497525343,1114298
506857017,1114298
509984681,1114298
503889390,1114298
510182730,1114298
526379275,1114298
502274824,1114298
489258150,1114298
513662734,1114298
494292667,1114298
502015540,1114298
494286976,1114298
483457403,1114298
489072118,1114298
503818840,1114298
503018120,1114298
517736363,1114298
489589417,1114298
491498002,1114298
493479742,1114298
497318337,1114298
481975079,1114298
500180125,1114298
487576042,1114298
492518249,1114298
477531148,1114298
495856384,1114298
494511767,1114298
506060023,1114298
495099387,1114298
492635195,1114298
512133978,1114298
488772592,1114298
491475916,1114298
519230412,1114298
517378179,1114298
487606337,1114298
480793883,1114298
486366469,1114298
490892061,1114298
492738011,1114298
512970929,1114298
