ns,bytes
23067875,109066
22749931,109066
22157208,109066
23827173,109066
19840257,109066
18691810,109066
28675026,109066
20053944,109066
19475623,109066
18968113,109066
18255359,109066
24873726,109066
29743774,109066
19001884,109066
19027171,109066
23842274,109066
23065495,109066
21294610,109066
21949478,109066
25482779,109066
19246040,109066
22363377,109066
21408834,109066
22251184,109066
23361254,109066
18770160,109066
20838172,109066
26492697,109066
23753175,109066
20771798,109066
20961117,109066
19002492,109066
22087561,109066
20074335,109066
21089639,109066
20574594,109066
18555227,109066
24620422,109066
23611865,109066
21512794,109066
22077664,109066
29314282,109066
28641394,109066
21859320,109066
20282622,109066
28983717,109066
22357841,109066
23072399,109066
21548922,109066
21746807,109066
24699176,109066
20841864,109066
20383615,109066
22279471,109066
25690107,109066
19983212,109066
19927226,109066
32063570,109066
23459931,109066
21208816,109066
23054870,109066
24198277,109066
23147008,109066
27297500,109066
23599555,109066
20864551,109066
22727063,109066
23808215,109066
20661317,109066
22644639,109066
19733338,109066
22682346,109066
24593816,109066
22067335,109066
21372615,109066
21694983,109066
24336129,109066
20949656,109066
19267252,109066
18988493,109066
20896549,109066
19040427,109066
20802875,109066
23356370,109066
25183548,109066
18629506,109066
29812291,109066
19665183,109066
22272989,109066
30761312,109066
24083900,109066
21561933,109066
20301403,109066
29349431,109066
23116613,109066
18837205,109066
20086477,109066
24704505,109066
21925852,109066
20553731,109066
134711062,1114298
137884811,1114298
140490278,1114298
134000165,1114298
133022455,1114298
138983945,1114298
136688142,1114298
133639183,1114298
134740289,1114298
138447971,1114298
137549354,1114298
136009695,1114298
136612090,1114298
147523052,1114298
147130031,1114298
146062976,1114298
154906048,1114298
154838628,1114298
155377075,1114298
151494807,1114298
152428642,1114298
146825295,1114298
152037255,1114298
150629917,1114298
145079378,1114298
143284518,1114298
135869701,1114298
134091713,1114298
152060722,1114298
146916059,1114298
137871007,1114298
134743410,1114298
150385382,1114298
136838124,1114298
133865901,1114298
140241033,1114298
144343248,1114298
132519389,1114298
135264450,1114298
134028620,1114298
134049553,1114298
136530595,1114298
134671360,1114298
135954175,1114298
135794675,1114298
140614777,1114298
134102277,1114298
134064942,1114298
135354199,1114298
136661307,1114298
135885675,1114298
136381466,1114298
135479404,1114298
138283662,1114298
140162199,1114298
136118071,1114298
134395527,1114298
130853771,1114298
134757807,1114298
132504337,1114298
133803261,1114298
136100619,1114298
129811002,1114298
148846350,1114298
131638326,1114298
130940298,1114298
131258583,1114298
131119772,1114298
131499591,1114298
130570376,1114298
131623524,1114298
136673644,1114298
130586071,1114298
130079435,1114298
130237820,1114298
133522556,1114298
130867659,1114298
131044556,1114298
135531166,1114298
134456274,1114298
136922404,1114298
138300415,1114298
138674896,1114298
131774121,1114298
136108262,1114298
135377597,1114298
135314300,1114298
136165604,1114298
135369049,1114298
137087265,1114298
137615456,1114298
135161413,1114298
145558678,1114298
139201556,1114298
135196153,1114298
132691819,1114298
135435656,1114298
134761768,1114298
138257725,1114298
134199744,1114298
396667653,3254494
383290878,3254494
394810853,3254494
399571787,3254494
408939389,3254494
393119151,3254494
388557213,3254494
382298490,3254494
378883096,3254494
386360350,3254494
388156592,3254494
382817391,3254494
385247973,3254494
389124125,3254494
425729804,3254494
391716650,3254494
380593039,3254494
394624109,3254494
431396047,3254494
388028578,3254494
379141470,3254494
382103342,3254494
411975088,3254494
381499437,3254494
382372856,3254494
384168723,3254494
389446553,3254494
377947569,3254494
396138180,3254494
381587289,3254494
380947900,3254494
384498665,3254494
390420725,3254494
388589837,3254494
379311757,3254494
392887124,3254494
383993102,3254494
390816562,3254494
396525789,3254494
382281439,3254494
393339660,3254494
425886423,3254494
377517752,3254494
384492460,3254494
419262832,3254494
393647569,3254494
390477431,3254494
390531850,3254494
389689968,3254494
389763490,3254494
383636130,3254494
386592675,3254494
399647506,3254494
399641253,3254494
421232028,3254494
391606611,3254494
391565125,3254494
390212588,3254494
388086115,3254494
430622028,3254494
423287953,3254494
381166645,3254494
380432782,3254494
387681012,3254494
408259219,3254494
385432603,3254494
378742099,3254494
376701237,3254494
391707362,3254494
388360977,3254494
386119974,3254494
388365538,3254494
427957174,3254494
383283328,3254494
384957986,3254494
456098813,3254494
378699909,3254494
406509311,3254494
383559468,3254494
393992015,3254494
435079632,3254494
415303696,3254494
382025547,3254494
392604279,3254494
384364308,3254494
398784877,3254494
376480584,3254494
382176247,3254494
386450306,3254494
385860061,3254494
380039390,3254494
382425967,3254494
378066569,3254494
383632138,3254494
406152184,3254494
383928250,3254494
382722375,3254494
380963356,3254494
377742171,3254494
389966479,3254494
717013501,6323973
705682859,6323973
744341639,6323973
723267203,6323973
710849181,6323973
736955209,6323973
